#,Actor,Categoria,Justificacion_Inclusion,Mendelow,Interes,Justificacion_Interes,Poder,Justificacion_Poder,Legitimidad,Justificacion_Legitimidad,Urgencia,Justificacion_Urgencia,Capacidad_Articulacion,Justificacion_Articulacion,Genero,Justificacion_Genero,Observaciones
1.0,Ministerio de Energía y Minas (MINEM),Entidad gubernamental de política y planificación,"Ministerio de Estado responsable de la política energética y de eficiencia energética del Perú, a través de su Dirección General de Eficiencia Energética (DGEE).",Manejar de cerca,9.0,"Emitió el DS N° 022-2020-EM (disposiciones sobre infraestructura de carga y abastecimiento de energía para movilidad eléctrica) y actualmente elabora el Reglamento para la Instalación y Operación de la Infraestructura de Carga (IRVE); lanzó el Plan Nacional de Masificación de Infraestructura de Carga (PNMIC) 2022-2025 y lidera un proyecto de Ley de promoción de vehículos eléctricos.
Señala que el 60% de la generación eléctrica peruana ya es hidroeléctrica, base sobre la cual el MINEM planea compensar la futura demanda del electrotransporte con energías renovables.",9.0,"Es la autoridad rectora nacional del sector energético con potestad de emitir decretos supremos vinculantes en materia de electromovilidad, en coordinación con los sectores de Ambiente y Transportes.",10.0,Mandato legal explícito como autoridad rectora del sector energético peruano.,8.0,"En 2024, el Ejecutivo publicó el Decreto Supremo N° 036-2023-EM, donde reconoce la urgencia del tema al señalar que el sector transporte representa 46,3% del consumo energético nacional, del cual el diésel concentra 54% y la energía eléctrica apenas 0,1%, la brecha que el reglamento busca cerrar. Además, el decreto obliga directamente a OSINERGMIN y a las municipalidades a adecuar sus propios procedimientos de supervisión conforme a esta norma, lo que confirma que no es un documento simbólico, sino uno con obligaciones de cumplimiento en cascada hacia otras entidades de tu propia matriz.",8.0,"Coordina con MTC y MINAM en el reglamento de infraestructura de carga; lidera la Cooperación Alemana (GIZ) en el proyecto ""Distribución Eléctrica 4.0"".",6.0,"Cuenta con una Política de Igualdad de Género institucional formal (resultado de un diagnóstico propio), un Programa de Mujeres Líderes Emergentes del Sector Minero Energético (desde 2018) y una Directiva contra el Hostigamiento Sexual. Dato reciente: la participación femenina en minería llegó a 10.1% en 2024 (vs. 6.2% en 2015). El matiz es que esta evidencia es del sector minero-energético en general, no específica de electromovilidad.","https://www.gob.pe/institucion/minem/noticias/590041-minem-se-viene-trabajando-el-reglamento-de-infraestructura-de-carga-de-movilidad-electrica
https://eficienciaenergetica.minem.gob.pe/Content/fileman/Uploads/REGLAMENTO%20DE%20MOVILIDAD%20EL%C3%89CTRICA/05_PDS_Reglamento_de_Infraestructura_de_Carga__07-06-21_VF_C_VB.pdf"
2.0,Organismo Supervisor de la Inversión en Energía y Minería (OSINERGMIN),Entidad gubernamental reguladora,Organismo regulador y supervisor del sector energético y minero peruano.,Manejar de cerca,8.0,"Publicó el libro técnico de referencia 'Electromovilidad: Conceptos, políticas y lecciones aprendidas para el Perú' (2019), documento base citado por el propio sector para el diseño de política pública en la materia.",8.0,"Tiene la facultad de fiscalización y supervisión del régimen de servicio de carga de baterías y del carácter comercial de la infraestructura de carga, conforme lo dispuesto en el DS N° 022-2020-EM.",9.0, Órgano regulador autónomo con facultad legal explícita de fiscalización sobre el sector energético peruano; el propio Decreto Supremo N° 036-2023-EM lo designa por nombre como una de las dos entidades (junto con las municipalidades) responsables de supervisar el cumplimiento de la infraestructura de carga eléctrica en todo el país.,8.0,"El reglamento vigente obliga directamente a OSINERGMIN a ""adecuar sus procedimientos"" para supervisar que las instalaciones de infraestructura de carga cumplan con la normativa",7.0,"El propio reglamento lo articula formalmente con las municipalidades del país como co-responsables de la supervisión, además de su coordinación técnica ya existente con MINEM bajo el marco del DS N° 022-2020-EM.",4.0,"Su función principal es la supervisión y regulación de los sectores energía y minería. Aunque aplica políticas institucionales de igualdad y no discriminación, la agenda de género no constituye una línea estratégica relevante dentro de sus funciones.",https://www.osinergmin.gob.pe/seccion/centro_documental/Institucional/Estudios_Economicos/Libros/Osinergmin-Electromovilidad-conceptos-politicas-lecciones-aprendidas-para-el-Peru.pdf
3.0,Autoridad de Transporte Urbano para Lima y Callao (ATU),Autoridad de transporte público,"Autoridad pública responsable de la planificación, gestión y regulación del transporte urbano de Lima y Callao.",Manejar de cerca,10.0,"Lidera la licitación de 150 buses eléctricos para el Metropolitano (inversión aproximada de S/ 250 millones / US$ 80 millones), con operación esperada desde 2026, e inició en 2023 la circulación de los primeros buses eléctricos piloto.",10.0,"Tiene la facultad de regular las condiciones y otorgar incentivos para la renovación de flotas con unidades eléctricas, a gas o híbridas, y de negociar directamente el financiamiento (ej. gestiones ante el Banco Mundial) para la electrificación del sistema.
Está en negociación directa y activa con el Banco Mundial por un préstamo de US$200 millones, lo que confirma que no solo regula sobre el papel, sino que gestiona financiamiento internacional de gran escala en tiempo real.",9.0,"Autoridad pública creada por ley en 2018 con mandato exclusivo sobre la planificación y regulación del transporte urbano de Lima y Callao. Se ejerce esta facultad mediante la Resolución Directoral N° 0011-2021-ATU/DIR, donde ATU se estableció por norma las Especificaciones Técnicas del Bus Patrón Eléctrico (dimensiones, componentes, accesibilidad) que hoy rigen a toda la industria.",9.0,"El 99,8% de la flota actual del Metropolitano ya superó su vida útil contractual, y el 80,5% de las unidades ha recorrido más de un millón de kilómetros. Frente a este colapso de flota, el 6 de abril de 2026 (hace apenas unos meses) la ATU firmó el contrato con Transconsult para arrancar formalmente el proceso de modernización de US$200 millones.",8.0," Coordina simultáneamente con el MTC, el Banco Mundial (donación de US$500,000 para el estudio técnico), la consultora Transconsult, y el sector privado",7.0,"Ha incorporado progresivamente enfoques de accesibilidad, seguridad y movilidad inclusiva en sus iniciativas de transporte urbano, aunque la agenda de género no constituye un eje principal de su gestión.","https://latamobility.com/lima-electromovilidad-en-transporte-publico/
 https://rpp.pe/economia/economia/metropolitano-sumaria-150-buses-electricos-a-su-flota-para-el-2026-atu-noticia-1609317
https://limain.pe/transporte-electrico-lima-ing-erick-adelmo-ruiz-escajadillo/
"
4.0,Ministerio de Transportes y Comunicaciones (MTC),Entidad gubernamental de política y planificación,"Ministerio de Estado responsable de la política de transporte terrestre, aéreo y de comunicaciones del Perú.",Manejar de cerca,7.0,"Coordina junto con MINEM y MINAM la elaboración del Reglamento de Infraestructura de Carga, y trabaja con los municipios en la implementación de carriles y estacionamientos exclusivos para vehículos eléctricos según el Decreto Supremo de Emergencia Climática.",8.0,"Su facultad regulatoria no se limita a electromovilidad, sino que controla todo el Reglamento Nacional de Vehículos y de Tránsito, cualquier norma que quiera aplicarse a vehículos eléctricos en el país eventualmente pasa por el marco que ya administra el MTC, dándole una posición de poder estructural incluso en temas donde no lidera la conversación pública.",10.0,"Ente rector nacional exclusivo del Reglamento Nacional de Vehículos y del Reglamento Nacional de Tránsito; cualquier norma sobre circulación, homologación o identificación de vehículos eléctricos en el país pasa obligatoriamente por su autoridad",6.0,"Desde el ministerio se fijó un plazo concreto y públicamente comprometido: electrificar el parque automotor peruano en 5 años (con horizonte a 2030).
Adicionalmente, se diseñó el mecanismo de presión para lograrlo dentro de ese plazo, permisos de circulación más largos para eléctricos (14 años) frente a los de gas (8 años)",8.0,"Coordina directamente con MINEM y MINAM en la elaboración de normativa conjunta, y con la ATU en la modernización del Metropolitano",7.0,"El Programa Nacional de Transporte Urbano (PROMOVILIDAD) incorpora por diseño un ""enfoque de movilidad urbana sostenible y de género"" como estándar oficial de sus sistemas de transporte. 
","https://www.gob.pe/institucion/minem/noticias/590041-minem-se-viene-trabajando-el-reglamento-de-infraestructura-de-carga-de-movilidad-electrica
https://www.mobilityportal.eu/es/notes/gobierno-ilusiona-con-mas-buses-electrificados-tras-nuevo-proyecto-de-ley-en-peru
https://elcomercio.pe/lima/transporte/lima-presentan-el-primer-bus-electrico-hecho-en-peru-mtc-atu-modasa-urbanito-transporte-publico-ultimas-noticia/"
5.0,Ministerio del Ambiente (MINAM),Entidad gubernamental de política y planificación,Ministerio de Estado responsable de la política ambiental del Perú.,Manejar de cerca,7.0,"A través del Decreto Supremo de Declaración de Emergencia Climática, estableció un plazo para que el sector público implemente acciones concretas de electromovilidad",7.0,Tiene facultad normativa ambiental vinculante (Declaración de Emergencia Climática) que obliga a otras entidades del Estado a actuar en electromovilidad dentro de plazos concretos.,9.0,"Autoridad legal que emitió el Decreto Supremo N° 003-2022-MINAM, declarando de interés nacional la emergencia climática, un decreto que por diseño obliga a otros sectores del Estado (MTC, MINEM, MEF, gobiernos locales) a actuar dentro de plazos definidos.",6.0,"La meta de reducir 40% las emisiones de gases de efecto invernadero para 2030 es un compromiso internacional vinculante (NDC bajo el Acuerdo de París). Pero el propio historial ineficiente e irregular de MINAM en electromovilidad  muestra que esa presión de plazo no se ha traducido en acción efectiva. Hay urgencia en el papel (la meta 2030 existe y se acerca), pero no urgencia demostrada en el comportamiento real de la entidad.",8.0,"Convocó y lideró una reunión técnica con representantes de MINEM, MTC, Produce y la Municipalidad Metropolitana de Lima",8.0,"Integra consideraciones de género y cambio climático dentro de diversos instrumentos de política ambiental y desarrollo sostenible, alineados con compromisos nacionales e internacionales.",https://www.mobilityportal.eu/es/notes/gobierno-ilusiona-con-mas-buses-electrificados-tras-nuevo-proyecto-de-ley-en-peru 
6.0,Gobiernos Regionales de expansión (Arequipa y La Libertad),Entidad gubernamental de política y planificación,"Gobiernos regionales de Arequipa y La Libertad (Trujillo), la segunda y tercera ciudades más pobladas del Perú respectivamente.",Hacer seguimiento,4.0,Ambas fueron identificadas como las próximas ciudades hacia donde el gobierno planea expandir el modelo de buses eléctricos tras Lima.,3.0,"En ninguna de las dos hay proyecto concreto adjudicado, presupuesto asignado ni cronograma público",,,,,,,7.0,"Implementan políticas regionales de igualdad y programas de inclusión derivados de los lineamientos nacionales, aunque con distintos niveles de capacidad institucional y alcance.","https://latamobility.com/en/peru-bets-on-electric-mobility-150-electric-buses-to-transform-public-transport/
https://elcomercio.pe/economia/dia-1/lento-pero-seguro-venta-mensual-de-vehiculos-electricos-en-el-peru-ya-se-acerca-a-las-1000-unidades-que-lo-limita-tlcnota-vehiculos-electricos-noticia/ "
7.0,Protransporte,Autoridad de transporte público,Organismo Público Descentralizado que administra y opera el sistema de transporte Metropolitano de Lima.,Manejar de cerca,7.0,"Identificó y comunicó públicamente la necesidad de una red mínima de 30 electrolineras estratégicamente ubicadas para cubrir las rutas principales del sistema, como condición técnica para la electrificación de la flota.",6.0,"Como operador directo del Metropolitano, define los requerimientos técnicos y de infraestructura de carga que deben cumplirse para la electrificación del sistema, aunque depende de la ATU para decisiones de mayor jerarquía.",5.0,"Organismo público descentralizado creado específicamente para desarrollar el sistema de transporte Metropolitano. La administración del sistema pasó formalmente a la ATU (bajo el MTC), no a Protransporte ni a la Municipalidad de Lima que lo creó originalmente. Su legitimidad hoy es más operativa que decisoria.",7.0,"Protransporte tiene urgencia real porque es quien enfrenta directamente las consecuencias operativas todos los días de seguir con una flota vieja. el caso de los deflectores de ventilación (solo 33% de la flota los tiene) deja a los pasajeros expuestos a golpes de calor en las olas de calor actuales, y episodios como la paralización temporal del Corredor Morado ya generaron aumento de transporte informal y congestión.",4.0,"Depende operativamente de la ATU y de la aprobación del MEF, lo que limita su capacidad de articulación propia.",4.0,"Su enfoque histórico se ha concentrado en la planificación y gestión del sistema de transporte masivo, sin evidencia destacada de programas específicos de género.",https://limain.pe/transporte-electrico-lima-ing-erick-adelmo-ruiz-escajadillo/ 
8.0,BYD Perú / Motorysa,"Fabricante de buses, chasis o carrocerías","Fabricante chino de vehículos eléctricos (BYD), distribuido en Perú por Motorysa, empresa colombiana con más de 57 años de experiencia automotriz.",Manejar de cerca,8.0,"Desde su llegada oficial en diciembre de 2024 con 5 modelos,  abrió su cuarto concesionario en Lima a fin  de 2025 y es una de las marcas líderes en las ventas diarias de vehículos eléctricos en el país (más de 2 unidades vendidas por día según reportes).
Registró crecimiento de cuatro cifras (+1.000%) en ventas, al estar en su primer año completo de operaciones en Perú",6.0,"Como marca líder de ventas y con alianza de distribución consolidada, tiene capacidad de influir en la oferta de infraestructura de carga asociada",2.0,"Empresa privada (distribuidor colombiano); su peso es puramente comercial, sin ningún mandato institucional para definir política pública.",8.0,"Su crecimiento comercial (meta: triplicar ventas en 2026) depende de que mejore la infraestructura de carga del país y avance la Ley de Electromovilidad, estancada en el Congreso. Sin más electrolineras, el mercado se satura rápido.",3.0,La exclusividad que le impone BYD le impide aliarse con otras marcas eléctricas; su única expansión posible es hacia diésel.,7.0,"Forma parte de un grupo empresarial que ha impulsado iniciativas de diversidad e inclusión, aunque estas no representan uno de los ejes principales de su actividad comercial.","https://www.byd.com/pe/news-list/byd-entra-en-peru
https://es.tradingview.com/news/reuters.com,2025:newsml_L1N3WQ11H:0/ 

https://elcomercio.pe/ruedas-tuercas/automotriz/autos-electricos-la-gigante-automotriz-china-byd-regresa-al-peru-con-una-gama-de-cinco-carros-electricos-e-hibridos-desde-us24990-mexico-espana-estados-unidos-noticia/
https://elcomercio.pe/economia/dia-1/lento-pero-seguro-venta-mensual-de-vehiculos-electricos-en-el-peru-ya-se-acerca-a-las-1000-unidades-que-lo-limita-tlcnota-vehiculos-electricos-noticia/ "
9.0,Transconsult,Academia e investigación,"Consultora internacional especializada en transporte, contratada por la ATU.",Mantener informado,8.0,Fue contratada directamente por la ATU (contrato firmado el 6 de abril de 2026) para elaborar el expediente técnico completo de la modernización del Metropolitano en 150 días — el documento que definirá cómo se distribuyen los US$200 millones y se incorporan los 60 buses eléctricos.,4.0,"Su rol es técnico-consultivo; no ejecuta ni financia, pero su expediente será la base que el Banco Mundial evalúe para aprobar el crédito.",,,,,,,4.0,"Su actividad se centra en consultoría técnica y estructuración de proyectos, sin evidencia significativa de programas institucionales de género.",https://www.infobae.com/peru/2026/04/07/metropolitano-sumara-60-buses-como-parte-de-un-plan-de-modernizacion-anuncia-la-atu/
10.0,"Empresas concesionarias del Metropolitano (Lima Express, Lima Bus Internacional, Transvial Lima, Perú Masivo)",Operador de transporte público,Las 4 empresas privadas que operan bajo concesión la totalidad de la flota del Metropolitano (523 unidades).,Manejar de cerca,7.0,"Según la propia ATU, la renovación de las 523 unidades actuales (incluyendo la eventual incorporación de eléctricas) es responsabilidad de estas empresas, no del Estado.",7.0,"Controlan directamente la operación diaria del sistema y tienen poder sobre el ritmo de renovación de flota, al requerirse consenso entre las cuatro.",,,,,,,4.0,"Aunque cumplen disposiciones laborales de igualdad y no discriminación, no presentan un liderazgo sectorial relevante en materia de género e inclusión.","https://www.infobae.com/peru/2026/03/09/renovacion-del-metropolitano-sigue-en-espera-nuevos-buses-dependen-de-prestamo-de-us200-millones-y-no-llegarian-antes-de-2027/
http://www.metropolitano.gob.pe/conocenos/colaboradores/conductores/
"
11.0,Ministerio de Economía y Finanzas (MEF),Entidad gubernamental de política y planificación,Ministerio responsable de la política fiscal y del endeudamiento público del Perú.,Manejar de cerca,6.0,"Emitió el DS 156-2023-EF que aprueba la depreciación acelerada de vehículos eléctricos, y es la entidad que debe autorizar y gestionar el préstamo de US$200 millones del Banco Mundial para el Metropolitano.",8.0,"Sin su aprobación, ningún financiamiento multilateral de gran escala para electrificación de flotas puede concretarse.",10.0,Máxima autoridad fiscal del país; ningún incentivo tributario o préstamo multilateral para electromovilidad puede avanzar sin su aprobación.,8.0,"MEF es el cuello de botella real de casi todo el sector: bloqueó activamente el proyecto de Ley de Electromovilidad por su costo fiscal (hasta S/44.000 millones estimados), tiene pendiente aprobar la adenda de US$200M del sistema de transporte Metropolitano, y creó una alternativa más acotada (el fondo FONELEC, S/5 millones, para transporte público). Es decir, prácticamente ningún avance financiero del sector ocurre sin que MEF decida primero.",6.0,"Creó el FONELEC en fideicomiso administrado por COFIDE, con participación de MINAM y ATU — articula a varios actores de tu propia matriz en un solo instrumento, aunque el reglamento operativo aún no se publica.",7.0,"Participa en procesos de presupuestación y políticas públicas que incorporan progresivamente enfoques de igualdad de género, aunque esta no constituye su función principal.",https://gestion.pe/g-de-gestion/infografias/sobre-ruedas-electromovilidad-en-peru-en-avance-y-un-futuro-de-alto-voltaje-empresas-toyota-aap-aedive-noticia/
12.0,Enel Perú / Enel X Perú,Empresa de energía e infraestructura de carga,"Empresa de distribución eléctrica y soluciones de electromovilidad, filial local del grupo italiano Enel.",Manejar de cerca,7.0,"Donó la primera infraestructura de carga a una entidad pública en el Perú (MINEM) y desarrolló, junto con Protransporte, MINEM, MTC y MINAM, un proyecto piloto de 2 años de bus eléctrico para generar líneas base para la electrificación masiva del transporte público limeño.",6.0,"Como empresa de distribución eléctrica y proveedor de infraestructura de carga, tiene incidencia directa sobre la oferta técnica y el conocimiento aplicado disponible para la electrificación del transporte.",3.0,"Empresa privada (filial de Enel, Italia); su legitimidad es de mercado y de know-how técnico, no institucional.",8.0,"Su modelo de negocio depende directamente de que avance la electrificación del transporte público: sin una Ley de Electromovilidad ni reglamento claro de infraestructura de carga, Enel X no puede escalar sus alianzas más allá de proyectos piloto aislados (Lima, Arequipa). ",7.0,"Es el actor privado con más alianzas multisectoriales demostradas en Perú: en Lima trabajó con Protransporte, GSEP e Hydro-Québec (2020); en Arequipa armó una alianza de 4 partes (Consorcio Integra, MODASA, SEAL, Municipalidad Provincial de Arequipa) para el primer bus eléctrico de esa región, con meta declarada de escalar a más de 100 e-buses.",8.0,"La organización mantiene políticas corporativas consolidadas de diversidad, inclusión y liderazgo femenino dentro de sus operaciones globales y regionales.","https://www.gob.pe/institucion/minem/noticias/606249-minem-impulsa-movilidad-electrica-en-el-pais
https://www.enel.pe/es/sostenibilidad/bus-electrico-revoluciona-el-transporte-publico.html"
